date,instrument,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,quantity,points,pnl_inr,brokerage,stt,exchange_txn_charges,sebi_charges,stamp_duty,gst,total_charges,net_pnl_inr,equity_before,equity_after,withdrawn_to_date,withdrawal_here
2026-09-03,NIFTY,LONG,2026-09-03 11:25:00+05:30,23953.55,2026-09-03 12:00:00+05:30,23954.8,EARLY_EXIT,65,1.25,81.25,20.0,778.53,56.99,3.11,31.14,13.86,903.63,-822.38,200000.0,199177.62,0.0,False
2026-09-16,NIFTY,LONG,2026-09-16 09:50:00+05:30,23165.7,2026-09-16 11:03:00+05:30,23275.35,TP,65,109.65,7127.17,20.0,756.45,55.24,3.02,30.12,13.54,878.37,6248.8,199177.62,205426.42,0.0,False
2026-09-22,NIFTY,SHORT,2026-09-22 10:20:00+05:30,23453.1,2026-09-22 10:38:00+05:30,23407.15,TP,65,45.95,2986.92,20.0,762.23,55.74,3.05,30.43,13.63,885.07,2101.85,205426.42,207528.27,0.0,False
2026-09-22,NIFTY,SHORT,2026-09-22 14:55:00+05:30,23375.38,2026-09-22 15:14:00+05:30,23350.7,PRE_CLOSE_FLATTEN,65,24.68,1603.88,20.0,759.7,55.58,3.04,30.36,13.6,882.28,721.6,207528.27,208249.87,0.0,False
2026-09-25,NIFTY,SHORT,2026-09-25 11:25:00+05:30,23078.3,2026-09-25 12:57:00+05:30,23023.46,TP,65,54.84,3564.87,20.0,750.04,54.84,3.0,29.93,13.47,871.28,2693.59,208249.87,210943.46,0.0,False
