date,instrument,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,quantity,points,pnl_inr,brokerage,stt,exchange_txn_charges,sebi_charges,stamp_duty,gst,total_charges,net_pnl_inr,equity_before,equity_after,withdrawn_to_date,withdrawal_here
2026-08-31,BANKNIFTY,SHORT,2026-08-31 13:50:00+05:30,57388.9,2026-08-31 14:22:00+05:30,57260.48,TP,30,128.42,3852.5,20.0,860.83,62.94,3.44,34.36,14.93,996.5,2856.0,200000.0,202856.0,0.0,False
2026-09-04,BANKNIFTY,LONG,2026-09-04 14:25:00+05:30,57546.25,2026-09-04 14:40:00+05:30,57534.85,EARLY_EXIT,30,-11.4,-341.85,20.0,863.02,63.18,3.45,34.53,14.97,999.15,-1341.0,202856.0,201515.0,0.0,False
2026-09-16,BANKNIFTY,LONG,2026-09-16 09:50:00+05:30,55938.46,2026-09-16 10:41:00+05:30,56228.94,TP,30,290.48,8714.3,20.0,843.43,61.58,3.37,33.56,14.68,976.63,7737.67,201515.0,209252.68,0.0,False
2026-09-17,BANKNIFTY,LONG,2026-09-17 11:50:00+05:30,56160.1,2026-09-17 12:10:00+05:30,56359.23,TP,30,199.13,5973.97,20.0,845.39,61.77,3.38,33.7,14.72,978.95,4995.02,209252.68,214247.69,0.0,False
2026-09-21,BANKNIFTY,SHORT,2026-09-21 10:00:00+05:30,56424.38,2026-09-21 10:55:00+05:30,56400.99,EARLY_EXIT,30,23.39,701.7,20.0,846.37,61.94,3.38,33.84,14.75,980.28,-278.58,214247.69,213969.11,0.0,False
2026-09-22,BANKNIFTY,SHORT,2026-09-22 14:40:00+05:30,56280.73,2026-09-22 15:14:00+05:30,56285.37,PRE_CLOSE_FLATTEN,30,-4.64,-139.2,20.0,844.21,61.8,3.38,33.77,14.72,977.88,-1117.08,213969.11,212852.03,0.0,False
2026-09-25,BANKNIFTY,SHORT,2026-09-25 09:35:00+05:30,55569.85,2026-09-25 10:05:00+05:30,55505.16,EARLY_EXIT,30,64.69,1940.7,20.0,833.55,60.98,3.33,33.3,14.58,965.74,974.96,212852.03,213826.99,0.0,False
2026-09-25,BANKNIFTY,SHORT,2026-09-25 10:30:00+05:30,55553.12,2026-09-25 11:00:00+05:30,55533.95,EARLY_EXIT,30,19.18,575.25,20.0,833.3,60.99,3.33,33.32,14.58,965.51,-390.26,213826.99,213436.73,0.0,False
